node_id,name,type,attrs_json
165,Cable Internal Rotation,Exercise,"{""source_id"": ""Cable_Internal_Rotation"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
166,Cable Iron Cross,Exercise,"{""source_id"": ""Cable_Iron_Cross"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
167,Cable Judo Flip,Exercise,"{""source_id"": ""Cable_Judo_Flip"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
168,Cable Lying Triceps Extension,Exercise,"{""source_id"": ""Cable_Lying_Triceps_Extension"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
169,Cable One Arm Tricep Extension,Exercise,"{""source_id"": ""Cable_One_Arm_Tricep_Extension"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
170,Cable Preacher Curl,Exercise,"{""source_id"": ""Cable_Preacher_Curl"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
171,Cable Rear Delt Fly,Exercise,"{""source_id"": ""Cable_Rear_Delt_Fly"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
172,Cable Reverse Crunch,Exercise,"{""source_id"": ""Cable_Reverse_Crunch"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
173,Cable Rope Overhead Triceps Extension,Exercise,"{""source_id"": ""Cable_Rope_Overhead_Triceps_Extension"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
174,Cable Rope Rear-Delt Rows,Exercise,"{""source_id"": ""Cable_Rope_Rear-Delt_Rows"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
175,Cable Russian Twists,Exercise,"{""source_id"": ""Cable_Russian_Twists"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
176,Cable Seated Crunch,Exercise,"{""source_id"": ""Cable_Seated_Crunch"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
177,Cable Seated Lateral Raise,Exercise,"{""source_id"": ""Cable_Seated_Lateral_Raise"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
178,Cable Shoulder Press,Exercise,"{""source_id"": ""Cable_Shoulder_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
179,Cable Shrugs,Exercise,"{""source_id"": ""Cable_Shrugs"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
180,Cable Wrist Curl,Exercise,"{""source_id"": ""Cable_Wrist_Curl"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
181,Calf-Machine Shoulder Shrug,Exercise,"{""source_id"": ""Calf-Machine_Shoulder_Shrug"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
182,Calf Press,Exercise,"{""source_id"": ""Calf_Press"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
183,Calf Press On The Leg Press Machine,Exercise,"{""source_id"": ""Calf_Press_On_The_Leg_Press_Machine"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
184,Calf Raise On A Dumbbell,Exercise,"{""source_id"": ""Calf_Raise_On_A_Dumbbell"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""intermediate"", ""curated"": false}"
185,Calf Raises - With Bands,Exercise,"{""source_id"": ""Calf_Raises_-_With_Bands"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
186,Calf Stretch Elbows Against Wall,Exercise,"{""source_id"": ""Calf_Stretch_Elbows_Against_Wall"", ""force"": ""static"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
187,Calf Stretch Hands Against Wall,Exercise,"{""source_id"": ""Calf_Stretch_Hands_Against_Wall"", ""force"": ""static"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
188,Calves-SMR,Exercise,"{""source_id"": ""Calves-SMR"", ""force"": ""static"", ""mechanic"": null, ""level"": ""intermediate"", ""curated"": false}"
189,Car Deadlift,Exercise,"{""source_id"": ""Car_Deadlift"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
190,Car Drivers,Exercise,"{""source_id"": ""Car_Drivers"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
191,Carioca Quick Step,Exercise,"{""source_id"": ""Carioca_Quick_Step"", ""force"": null, ""mechanic"": null, ""level"": ""beginner"", ""curated"": false}"
192,Cat Stretch,Exercise,"{""source_id"": ""Cat_Stretch"", ""force"": ""static"", ""mechanic"": null, ""level"": ""beginner"", ""curated"": false}"
