node_id,name,type,attrs_json
133,Hollow Hold,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Stability"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
134,Dead Bug,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
135,Russian Twist,Exercise,"{""primary_muscles"": [""Obliques""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
136,Hanging Leg Raise,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""None"", ""exercise_type"": ""Stability"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
137,Cable Woodchopper,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""Cable Machine"", ""exercise_type"": ""Stability"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
138,Ab Rollout,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Stability"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
139,Pallof Press,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength"", ""Mobility""]}"
140,Farmer Carry,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Mobility"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
141,Back Extension,Exercise,"{""primary_muscles"": [""Lats"", ""Upper Back""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Hypertrophy""]}"
142,L-Sit,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
143,Dragon Flag,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
144,Mountain Climbers,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
145,Running (Treadmill),Exercise,"{""primary_muscles"": [""Quadriceps"", ""Calves""], ""equipment"": ""Treadmill"", ""exercise_type"": ""Cardio"", ""intensity"": ""Moderate"", ""goals"": [""Fat Loss""]}"
146,Outdoor Running,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""Moderate"", ""goals"": [""Fat Loss""]}"
147,Cycling (Stationary),Exercise,"{""primary_muscles"": [""Quadriceps"", ""Calves""], ""equipment"": ""Cycling (Stationary)"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
148,Rowing (Machine),Exercise,"{""primary_muscles"": [""Lats"", ""Upper Back""], ""equipment"": ""Rowing Machine"", ""exercise_type"": ""Cardio"", ""intensity"": ""Moderate"", ""goals"": [""Fat Loss""]}"
149,Jump Rope,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""Moderate"", ""goals"": [""Fat Loss""]}"
150,Burpee,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""High"", ""goals"": [""Fat Loss""]}"
151,Sprint Interval,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""High"", ""goals"": [""Fat Loss""]}"
152,Hill Sprint,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""High"", ""goals"": [""Fat Loss""]}"
153,Battle Ropes,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
154,Stair Climber,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
155,Elliptical,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
156,Box Jumps,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Cardio"", ""intensity"": ""High"", ""goals"": [""Fat Loss""]}"
157,Agility Ladder,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
158,Dynamic Hamstring Stretch,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Mobility"", ""intensity"": ""Low"", ""goals"": [""Mobility""]}"
159,Hip Flexor Stretch,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""None"", ""exercise_type"": ""Mobility"", ""intensity"": ""Low"", ""goals"": [""Mobility""]}"
160,Thoracic Rotation,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
161,Ankle Mobility Drill,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Mobility"", ""intensity"": ""Low"", ""goals"": [""Mobility""]}"
162,Child's Pose,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Mobility"", ""intensity"": ""Low"", ""goals"": [""Strength""]}"
163,Cat-Cow,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
164,Pigeon Pose,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
165,90/90 Hip Switch,Exercise,"{""primary_muscles"": [""Quadriceps"", ""Glutes""], ""equipment"": ""None"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
166,Shoulder Dislocation (Band),Exercise,"{""primary_muscles"": [""Deltoids Anterior"", ""Deltoids Lateral""], ""equipment"": ""Resistance Band"", ""exercise_type"": ""Strength"", ""intensity"": ""Moderate"", ""goals"": [""Strength""]}"
167,World's Greatest Stretch,Exercise,"{""primary_muscles"": [""Core""], ""equipment"": ""None"", ""exercise_type"": ""Mobility"", ""intensity"": ""Low"", ""goals"": [""Mobility""]}"
168,Hang Clean,Exercise,"{""primary_muscles"": [""Hamstrings"", ""Glutes"", ""Upper Back""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
169,Power Clean,Exercise,"{""primary_muscles"": [""Hamstrings"", ""Glutes"", ""Upper Back""], ""equipment"": ""Barbell"", ""exercise_type"": ""Strength"", ""intensity"": ""High"", ""goals"": [""Strength""]}"
